,SCRUB_STORE_NO,DATE_VALID_STD,DOY_STD,MIN_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F,MAX_TEMPERATURE_AIR_2M_F,MIN_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,MAX_TEMPERATURE_WETBULB_2M_F,MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,MAX_TEMPERATURE_DEWPOINT_2M_F,MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,MAX_TEMPERATURE_FEELSLIKE_2M_F,MIN_TEMPERATURE_WINDCHILL_2M_F,AVG_TEMPERATURE_WINDCHILL_2M_F,MAX_TEMPERATURE_WINDCHILL_2M_F,MIN_TEMPERATURE_HEATINDEX_2M_F,AVG_TEMPERATURE_HEATINDEX_2M_F,MAX_TEMPERATURE_HEATINDEX_2M_F,MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_RELATIVE_2M_PCT,MAX_HUMIDITY_RELATIVE_2M_PCT,MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_HUMIDITY_SPECIFIC_2M_GPKG,MAX_HUMIDITY_SPECIFIC_2M_GPKG,MIN_PRESSURE_2M_MB,AVG_PRESSURE_2M_MB,MAX_PRESSURE_2M_MB,MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,MAX_PRESSURE_MEAN_SEA_LEVEL_MB,MIN_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH,MAX_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,MIN_WIND_SPEED_80M_MPH,AVG_WIND_SPEED_80M_MPH,MAX_WIND_SPEED_80M_MPH,AVG_WIND_DIRECTION_80M_DEG,MIN_WIND_SPEED_100M_MPH,AVG_WIND_SPEED_100M_MPH,MAX_WIND_SPEED_100M_MPH,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,MIN_CLOUD_COVER_TOT_PCT,AVG_CLOUD_COVER_TOT_PCT,MAX_CLOUD_COVER_TOT_PCT,MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_RADIATION_SOLAR_TOTAL_WPM2,MAX_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2,PROBABILITY_OF_PRECIPITATION_PCT,PROBABILITY_OF_SNOW_PCT,FORECAST
32,3,2021-09-08,251,55.4,69.6,81.9,54.9,64.2,68.6,54.4,61.1,65.6,55.6,70.7,82.2,56.2,69.8,81.8,55.6,70.7,82.2,45,77,99,9.0,11.7,13.6,996.3,998.2,1000.6,1008.6,1010.5,1013.0,1.8,8.1,14.1,188,5.2,15.3,23.7,194,6.7,16.4,24.9,195,0.09,0,0,46,100,0,229.8,797.5,5286.0,60,0,182
33,3,2021-09-09,252,61.1,65.5,71.7,58.3,63.7,67.6,56.4,62.6,67.2,61.2,65.7,76.1,61.2,65.5,71.1,61.2,65.7,76.1,67,91,99,9.8,12.3,14.3,995.1,995.8,996.6,1007.4,1008.1,1008.8,0.7,2.3,5.4,302,0.9,4.5,9.8,294,1.0,4.9,10.4,292,0.16,0,100,100,100,0,59.8,351.4,1434.1,100,0,135
34,3,2021-09-10,253,50.3,61.9,72.6,47.1,55.4,59.8,44.0,50.2,55.0,50.7,62.6,75.8,50.7,62.0,72.6,50.3,62.5,75.8,43,68,91,6.1,7.8,9.3,995.4,999.9,1006.7,1007.7,1012.2,1019.4,2.2,6.8,11.8,307,5.0,13.3,19.6,309,5.9,14.5,20.4,310,0.0,0,0,22,100,0,241.1,802.9,5785.9,15,0,245
35,3,2021-09-11,254,47.1,60.9,75.2,45.6,54.4,61.4,43.4,48.8,55.3,47.8,61.5,76.3,47.8,60.9,75.0,47.2,61.3,76.3,34,68,93,5.9,7.4,9.3,1007.1,1008.7,1010.6,1019.8,1021.2,1023.0,0.4,4.7,9.3,223,1.9,9.6,15.3,231,2.6,10.5,15.9,232,0.0,0,0,7,66,0,253.3,807.0,6078.6,0,0,233
36,3,2021-09-12,255,55.3,69.9,84.3,55.0,63.5,70.0,54.7,59.9,64.5,54.7,70.5,85.0,54.7,69.7,84.0,55.5,70.6,85.0,43,74,98,9.0,11.1,13.1,1002.0,1004.7,1007.7,1014.2,1017.1,1020.2,2.6,7.2,12.1,233,7.8,14.7,20.4,242,9.3,15.8,21.3,243,0.0,0,5,45,100,0,220.2,771.6,5284.4,5,0,183
37,3,2021-09-13,256,58.1,67.9,78.8,55.6,62.0,67.5,50.9,58.1,64.0,58.5,68.8,79.9,58.9,67.9,78.2,58.5,68.8,79.9,46,73,97,8.0,10.5,12.7,1004.2,1005.6,1007.1,1016.6,1018.0,1019.5,1.4,2.8,4.0,264,2.9,5.4,8.5,267,3.3,6.0,9.8,268,0.0,0,16,59,96,0,202.2,557.4,4851.5,40,0,244
38,3,2021-09-14,257,63.4,75.3,90.5,63.4,68.1,71.6,59.5,64.2,66.5,63.5,76.6,90.3,63.5,75.3,90.2,63.5,76.6,90.3,36,73,99,11.2,13.0,13.9,998.0,1000.3,1003.8,1010.2,1012.5,1016.1,2.9,7.4,11.4,206,7.3,13.9,19.3,212,8.9,14.9,20.0,212,0.07,0,19,64,100,0,230.2,746.5,5525.5,25,0,179
39,3,2021-09-15,258,57.0,65.2,76.3,51.9,59.5,65.8,46.5,55.0,65.5,57.6,66.2,75.9,58.7,65.5,70.5,57.6,66.2,75.9,50,72,99,6.7,9.6,13.4,998.6,1001.9,1004.8,1010.9,1014.2,1017.3,1.3,4.7,8.2,302,3.6,9.6,13.6,300,4.6,10.5,14.1,300,0.15,0,98,100,100,0,131.7,406.5,3161.3,35,0,183
40,3,2021-09-16,259,49.3,60.3,70.8,49.0,53.8,59.3,45.4,48.1,51.9,49.7,60.6,72.6,49.7,60.2,70.0,50.3,60.8,73.5,41,66,92,6.5,7.1,8.3,1004.9,1006.9,1010.7,1017.4,1019.4,1023.4,3.0,3.8,4.7,6,5.5,8.0,11.7,10,5.7,8.8,13.4,12,0.0,0,1,79,100,0,159.1,525.9,3819.3,34,0,461
41,3,2021-09-17,260,46.6,58.4,72.3,46.6,52.1,59.2,43.3,46.2,49.8,46.6,59.0,75.6,46.6,58.5,71.8,47.4,59.4,75.6,36,68,94,6.0,6.6,7.6,1011.2,1014.6,1017.6,1023.9,1027.2,1030.4,0.4,2.6,4.0,27,0.7,4.1,7.4,20,0.9,4.4,8.2,20,0.0,0,0,0,0,0,242.8,769.5,5827.0,10,0,328
